1K,16K,64K,256K,1M
7696315.5,3.9468828E7,4.3987748E7,5.2135544E7,5.4989968E7
3111892.0,4.010664E7,4.1782204E7,4.4076124E7,5.4938636E7
9208680.0,3.4441836E7,4.858824E7,4.258778E7,5.3074792E7
7674986.0,3.1573604E7,4.6513948E7,4.4817472E7,4.9553324E7
8916160.0,3.8781084E7,4.4580832E7,4.1934148E7,4.01249E7
8561702.0,3.8103364E7,2.9208524E7,4.1951964E7,4.9331632E7
9317433.0,4.1534696E7,3.1015968E7,2.5075016E7,5.4644872E7
8353109.5,4.0053512E7,6932033.0,4.19418E7,4.1086572E7
8108380.0,2.0939504E7,2.8684212E7,3.5054692E7,4.87943E7
8943679.0,3.660714E7,4.4539152E7,4.1903432E7,3.9473624E7
7458245.0,3.5564176E7,4.242822E7,4.7870436E7,5.2271704E7
8251213.0,3.6765652E7,5.1798108E7,4.2692172E7,5.3685452E7
6209510.5,3.84922E7,4.7677388E7,4.1070952E7,5.4065236E7
8723217.0,3.4292584E7,3.8840804E7,4.5397912E7,3.4395756E7
8193464.0,3.881818E7,4.1686452E7,4.0122784E7,5.181386E7
7757675.0,3.7531144E7,4.0739508E7,4.662884E7,5.322442E7
8788265.0,2.148749E7,4.6926812E7,4.5740668E7,5.0764376E7
6707929.5,3.2067142E7,3.0037536E7,5.3298944E7,5.597034E7
8965080.0,4.0863444E7,3.7690732E7,4.7343396E7,5.5328984E7
9095920.0,4.3589784E7,4.5105772E7,5.1887608E7,5.547448E7
8954965.0,3.903096E7,4.7756412E7,5.3234008E7,5.3812468E7
8310935.5,3.8177008E7,3.8940912E7,5.7508592E7,4.0706368E7
8554335.0,3.3955136E7,3.7365144E7,4.9241036E7,4.6136268E7
9500059.0,3.4580576E7,4.2415736E7,5.0356652E7,5.0891136E7
7936766.5,3.6689684E7,4.4746272E7,5.0951532E7,4.9132328E7
8207471.5,2.5803326E7,4.0307084E7,5.6728616E7,3.5890084E7
6948729.5,3.648884E7,3.8402012E7,2.5107108E7,3.9070156E7
8550545.0,4.1355712E7,3.8425884E7,5.1677376E7,4.883154E7
6142860.5,3.8512196E7,4.8737132E7,4.9955856E7,5.147584E7
6536503.0,4.2604472E7,4.2200556E7,4.7887892E7,5.3331244E7
8712220.0,3.4876564E7,4.03753E7,5.4699392E7,4.1168568E7
7551752.0,4.022528E7,4.3997836E7,4.8920428E7,5.5694896E7
8007937.5,3.3770592E7,5.1016724E7,4.9031136E7,5.5397032E7
6794674.0,3.7801072E7,4.2756248E7,5.495888E7,4.6162692E7
6787714.0,1.8194166E7,4.4803904E7,5.71249E7,3.9989428E7
7278041.5,2.8406276E7,3.8021E7,5.2319464E7,4.8656804E7
7603354.0,3.5903404E7,4.8624896E7,2.81777E7,5.6391392E7
8250491.5,3.8280884E7,3.6141272E7,5.0204592E7,5.344158E7
8364358.0,2.6289236E7,4.3330612E7,5.2602292E7,5.144894E7
7227099.0,3.0254028E7,4.485654E7,4.6965808E7,4.389162E7
7519577.5,4.0876744E7,4.141156E7,4.5851848E7,5.4029008E7
7601366.5,3.289151E7,4.5939488E7,5.2468916E7,5.3557032E7
6346933.0,4.061994E7,4.7901304E7,4.6118208E7,5.3992012E7
7380945.0,2.7366864E7,4.946918E7,5.6462816E7,4.1113508E7
2484509.75,3.6709556E7,4.2075184E7,5.7452828E7,4.5974884E7
8845620.0,4.2319724E7,4.7381932E7,4.9605868E7,4.239628E7
8632716.0,3.6268664E7,4.0022792E7,4.7995116E7,5.063444E7
8494827.0,3.1299258E7,5.0668376E7,4.4190068E7,4.0381748E7
8595134.0,3.2560826E7,4.9804312E7,4.8007488E7,5.1956148E7
9330569.0,3.0369464E7,4.0964088E7,5.410208E7,5.5169468E7
7779807.0,3.10758E7,4.5364708E7,5.2818464E7,5.3118672E7
8825541.0,2.3878976E7,4.5006728E7,4.93173E7,5.3111568E7
8027512.0,3.5104508E7,4.0103656E7,5.1576488E7,5.2861424E7
2580024.5,3.0129484E7,4.26704E7,2.1549784E7,5.1453628E7
8473894.0,3.857474E7,4.5364256E7,3.243298E7,4.1546908E7
7687790.0,4.0979008E7,4.3328884E7,3.1489834E7,4.5627684E7
7791075.0,4.1401952E7,3.961408E7,5.4441884E7,4.9947856E7
6775944.5,2.7681932E7,4.3962492E7,5.10391E7,5.1058308E7
6658579.0,2521915.5,4.942158E7,5.0830784E7,5.0111132E7
6270320.0,1.7767464E7,1.0019876E7,5.3223332E7,4.1594176E7
6404238.0,2.4180806E7,3.4432676E7,4.6488056E7,4.8829988E7
7878538.0,2.8486182E7,2.7184198E7,5.707466E7,5.2831128E7
5286108.0,3.9554176E7,3.796072E7,5.291654E7,5.0729904E7
8501160.0,2.6999444E7,4.2230496E7,5.4610704E7,4.0259028E7
7390245.5,2.9133788E7,4.0420288E7,5.905294E7,5.2511776E7
6094807.5,3.288786E7,4.8993664E7,4.9206088E7,5.1265872E7
3218188.75,3.4064388E7,4.6892552E7,4.9508E7,3.3432566E7
5270975.5,4.3339384E7,4.2996852E7,5.8633264E7,4.294302E7
2031434.875,3.8849728E7,4.9712984E7,5.0710624E7,4.9835668E7
6725781.5,3.2534654E7,3.55256E7,5.6393316E7,3.8943792E7
6959920.5,3.8727604E7,5.12998E7,5.2813592E7,5.1120584E7
1.0407809E7,3.6328356E7,4.911692E7,5.7603416E7,4.8187824E7
4427964.5,4.0725028E7,3.7230176E7,5.4399308E7,4.5563196E7
6208068.0,3.5917816E7,4.6265108E7,5.5661136E7,4.944546E7
7206324.0,3.5438764E7,4.852092E7,5.3550852E7,3.9981472E7
8014959.5,2.2460232E7,4.282912E7,6.220176E7,5.0854356E7
8356187.5,3.7728168E7,4.4651068E7,5.5085692E7,5.0094608E7
8088403.0,3.3562712E7,3.9394008E7,2.304642E7,5.1195908E7
6630170.0,3.7464612E7,4.317962E7,6.1183212E7,4.5850552E7
