4 x 256KB,2 x 512KB,1 x 1024KB
362.8883361816406,316.939208984375,273.7546081542969
348.08685302734375,284.9716491699219,271.6025695800781
421.32440185546875,406.45855712890625,273.35491943359375
468.7720947265625,352.9212646484375,333.19781494140625
376.51220703125,409.29168701171875,298.10491943359375
389.3959655761719,294.0274658203125,281.2144775390625
415.68023681640625,366.4176025390625,254.15940856933594
574.637451171875,268.4397277832031,276.3520202636719
476.3534851074219,211.19505310058594,341.2734375
456.66387939453125,213.91900634765625,348.2229919433594
478.1510009765625,204.5198211669922,259.87274169921875
398.1174011230469,203.21414184570312,265.8747253417969
513.3003540039062,265.8365173339844,250.02154541015625
341.84185791015625,204.5685577392578,307.2855224609375
285.07586669921875,206.5481414794922,249.523681640625
374.3878479003906,209.2549285888672,348.3629150390625
299.66650390625,200.18101501464844,231.48072814941406
325.17431640625,260.98974609375,213.22512817382812
327.6452331542969,205.962158203125,236.27259826660156
376.7099304199219,207.6674346923828,303.8971862792969
320.911865234375,206.2333221435547,303.6922912597656
285.56927490234375,198.83250427246094,402.48065185546875
351.89190673828125,210.64646911621094,276.9384765625
304.5939636230469,280.9771728515625,271.956298828125
315.27752685546875,236.89260864257812,321.8042907714844
349.8388671875,302.77874755859375,386.53179931640625
342.7042541503906,222.55172729492188,278.60797119140625
274.4676513671875,230.5643310546875,268.8532409667969
266.9396667480469,291.815673828125,194.63226318359375
366.4401550292969,301.4111633300781,249.5537109375
239.71261596679688,258.80645751953125,206.36585998535156
251.49249267578125,205.76651000976562,207.31858825683594
319.9360046386719,236.76495361328125,230.1527862548828
319.0448913574219,216.89297485351562,214.8242645263672
293.92486572265625,236.34864807128906,252.6922149658203
323.82879638671875,286.4544677734375,224.57725524902344
268.66790771484375,678.1845703125,235.2229766845703
249.00054931640625,255.37086486816406,216.1813201904297
334.12274169921875,205.65118408203125,214.2689208984375
266.2737731933594,216.24209594726562,325.9194641113281
272.30804443359375,246.7729949951172,235.55072021484375
314.96728515625,222.19781494140625,228.24282836914062
359.5013732910156,223.32489013671875,236.01480102539062
292.49517822265625,289.66314697265625,239.4330596923828
310.7988586425781,218.72544860839844,267.7643127441406
272.3603515625,223.17147827148438,213.16229248046875
356.5991516113281,210.1785125732422,223.27883911132812
308.47296142578125,214.24520874023438,229.23365783691406
339.34564208984375,276.83697509765625,221.68679809570312
490.8670654296875,220.60400390625,260.2862243652344
355.46588134765625,200.94956970214844,221.67701721191406
455.0340881347656,211.082275390625,223.26231384277344
350.6557922363281,203.59048461914062,223.64797973632812
453.222412109375,274.6286926269531,215.67137145996094
323.86328125,225.21749877929688,258.7622985839844
395.1442565917969,243.66310119628906,261.0553283691406
246.99314880371094,226.24609375,205.9710235595703
253.4393768310547,219.84703063964844,210.04896545410156
261.254150390625,277.7240295410156,209.8802032470703
274.06475830078125,221.0098419189453,215.8192596435547
