1B,32B,1024B
3.9924280643463135,1.844933032989502,2.2025558948516846
1.8974980115890503,2.2029240131378174,2.3054049015045166
1.8322689533233643,1.855360984802246,2.277384042739868
1.8416730165481567,1.8913090229034424,2.1335530281066895
1.82915198802948,1.8947269916534424,2.1209969520568848
1.8926140069961548,1.9543559551239014,2.318877935409546
1.8551050424575806,1.9820359945297241,2.3328969478607178
1.725430965423584,2.2643039226531982,2.2976911067962646
1.8527380228042603,1.8603650331497192,4.393202781677246
1.9221930503845215,2.0259039402008057,2.1733720302581787
1.8650380373001099,2.2037830352783203,2.296773910522461
2.2004339694976807,1.8915629386901855,2.2813971042633057
2.4319241046905518,1.7828409671783447,2.415595054626465
1.870756983757019,1.8272719383239746,2.212157964706421
1.8004260063171387,1.845497965812683,2.2786319255828857
2.322844982147217,1.7588499784469604,2.3513009548187256
1.936040997505188,1.7136260271072388,2.2644479274749756
1.9470770359039307,1.8293880224227905,5.098462104797363
1.897900938987732,3.9048938751220703,2.4174270629882812
4.142996788024902,1.762742042541504,2.4651939868927
3.7097980976104736,1.7386709451675415,2.8443570137023926
2.0910489559173584,1.8143270015716553,2.3327109813690186
2.206926107406616,2.095853090286255,2.461337089538574
2.3679769039154053,1.747941017150879,2.267997980117798
1.9187350273132324,1.7754039764404297,2.2908060550689697
2.0684309005737305,1.916983962059021,2.261759042739868
1.7475240230560303,1.74167001247406,2.316718101501465
1.7527409791946411,1.865900993347168,2.4968509674072266
1.7872469425201416,1.8463300466537476,2.260106086730957
1.9665720462799072,1.7741680145263672,2.232645034790039
1.8627099990844727,1.7412829399108887,2.22798490524292
1.8462469577789307,1.7692639827728271,2.252350091934204
1.8278900384902954,4.129601001739502,2.289076089859009
4.083517074584961,1.7648190259933472,2.2799110412597656
2.1268649101257324,1.9195070266723633,2.481945037841797
2.1127328872680664,1.8316999673843384,2.3077619075775146
1.8668010234832764,1.761132001876831,2.289644956588745
1.9870660305023193,1.8253229856491089,2.2895150184631348
2.279109001159668,1.7934659719467163,2.4650700092315674
2.904736042022705,1.9302400350570679,2.3017799854278564
2.104912042617798,2.119844913482666,2.2374138832092285
2.7186429500579834,1.9539309740066528,2.1880900859832764
2.0070018768310547,1.879364013671875,2.3555409908294678
2.251199960708618,2.3126120567321777,2.4920759201049805
2.222853899002075,1.7832419872283936,2.1384499073028564
1.8598549365997314,1.9405770301818848,2.3452110290527344
2.5514309406280518,1.6520979404449463,2.3014800548553467
2.2268059253692627,2.1922600269317627,2.23104190826416
2.244235038757324,2.2721240520477295,2.3395168781280518
