1,32,1024
299491,40356913,40182821
39403489,40054582,40074719
40028517,39991463,39977644
39904388,40008981,39963309
39960970,39900564,39975194
40018876,40009787,39994150
40007219,39978428,39958504
39928460,39961215,39978853
39981588,39978682,39978333
39861633,40030476,40013682
40015489,39943312,39949786
39889335,39955363,39980621
40037553,39921657,39950592
39911574,40039512,39987443
39920997,39977606,39973139
40062031,39982831,39960893
39971164,39977816,39949256
40340750,39956294,39988614
39968029,39992512,39955048
39838958,39983125,40001878
41057069,40000605,39954278
39851403,39841810,39983860
39894486,40080628,39968988
39964057,39992886,39993486
40000896,41421933,39962830
39978987,39408902,39961466
39896224,40106430,39912862
39963744,39959943,40044562
39943145,40029990,39988664
39976783,39843099,39946971
40127096,39995199,39913408
39932905,39933559,40096035
39942946,40098230,40004318
39830022,39970337,39846353
40119457,39977353,40081352
39941529,39971468,39981432
39917490,39990347,39941696
39943933,39986243,39985777
39955310,39954616,39880909
40040584,40003692,40018581
39980702,39921657,40000036
39959531,40020598,39913386
39955516,39985902,39929880
39900931,39976514,40023363
39971103,39964841,40070202
39959139,39980708,39856662
39968279,39979325,40109187
39986964,39920868,39999105
39950768,40046162,39832461
39969952,39990872,40054353
39943337,39970787,39897572
39839560,39978774,39911811
39927937,39977296,40098081
39962146,39979753,39935611
39970727,39961826,39957386
39967380,39993575,39931207
39970418,39967128,39961918
39966638,39990981,40039248
39969457,39966321,39943409
39981581,39995974,40053743
39958694,39972162,39993734
39968173,39987315,39861438
39905665,39941216,40085925
40018411,39987590,39887203
39977376,39886246,39981184
39904363,39960279,40077477
40002985,40120262,39952292
39940278,39952647,39947606
39970843,39985357,39981057
39959887,39958117,40001637
39977794,39988756,39987134
39966847,40002712,39964044
39884700,39858114,40019007
39982304,40081966,39919399
40051376,39980348,39950860
39905401,40037000,39986810
39930842,39834677,39898204
39976251,39933828,40018567
40073576,39988217,39986130
39935696,39972853,39991512
39924134,39979784,39960267
40048611,39972195,39900888
39847579,39978425,39978803
40068875,39973957,40052642
39980264,39972642,39949229
39983235,39979406,39994338
39970408,39987929,39970481
39873595,39987878,39971672
39947611,39965241,39981548
40090532,39980294,39912351
39974728,39966278,40054436
39964553,39990439,39965239
39966834,39962376,39964149
39964979,39903583,40001505
39972802,40061476,39894803
39974152,39965283,40053361
39965697,39996387,39980666
39982918,39885057,39904727
39943764,40056699,40045946
39937906,40001033,39991288
40000220,39949854,39972087
39908921,39985700,39888533
40055699,39986573,40046256
39953485,39974586,39917341
39960400,39902745,40060068
39984965,40062038,39959379
