1K,16K,64K,256K,1M
1.0205748E8,5.2067568E8,8.71605696E8,1.068137536E9,1.139957632E9
1.11344936E8,4.60959616E8,8.6541216E8,1.059339136E9,1.139353984E9
1.04617832E8,3.65583104E8,8.69495488E8,1.046045632E9,1.13960064E9
1.09380472E8,5.24478368E8,8.52864832E8,1.047850368E9,1.139185024E9
1.13712608E8,4.6382592E8,8.75278336E8,1.061434624E9,1.136402688E9
1.0795056E8,3.68473408E8,8.51460096E8,1.05778432E9,1.13899648E9
1.1328364E8,3.67689312E8,8.63082752E8,9.74163648E8,1.13912128E9
1.12300248E8,3.66808416E8,8.8144064E8,1.087601664E9,1.144237952E9
8.3547072E7,3.71615968E8,8.54457792E8,1.045153088E9,1.13920704E9
1.37849264E8,5.18509152E8,8.75707072E8,1.066873344E9,1.140322688E9
1.06418072E8,5.20851968E8,9.03074688E8,1.038801728E9,1.136522112E9
1.08549344E8,4.59661824E8,8.32932032E8,1.058678464E9,1.13884032E9
1.32483664E8,5.04711168E8,7.58645312E8,1.06320416E9,1.142523136E9
1.09514624E8,6.27419008E8,9.21421504E8,1.044052864E9,1.12471168E9
1.13651864E8,4.77369696E8,8.53025088E8,1.057832448E9,1.14492288E9
1.09657536E8,5.8892384E8,8.62724416E8,1.058299008E9,1.122624128E9
1.09682792E8,4.78683616E8,8.64194496E8,1.045994368E9,1.132625152E9
1.11191416E8,5.16009184E8,8.82506688E8,1.052681344E9,1.13467904E9
8.6878704E7,5.15522048E8,9.0170816E8,1.061855104E9,1.135494656E9
1.12302768E8,5.21288064E8,8.80899648E8,1.043106304E9,1.143976832E9
1.11237176E8,4.55656096E8,8.28488576E8,1.054128256E9,1.144949888E9
1.11153104E8,3.62724576E8,7.55459968E8,1.060926592E9,1.140823936E9
1.07066376E8,5.2301424E8,9.1233856E8,1.04605632E9,1.139198336E9
1.0980444E8,5.21165824E8,8.54239936E8,1.064530048E9,1.118755968E9
1.0891704E8,4.5394064E8,8.71756416E8,1.051726848E9,1.145471744E9
1.14504256E8,3.68748544E8,8.63476288E8,1.040479488E9,1.123180672E9
1.14996728E8,3.64931008E8,8.61689408E8,1.064797504E9,1.150027008E9
1.11577256E8,5.20607936E8,8.6752256E8,1.057992E9,1.138201088E9
9.9778488E7,4.56992704E8,8.65695424E8,1.050855616E9,1.119643648E9
1.0810344E8,3.63867072E8,8.79497792E8,1.047046336E9,1.150398208E9
1.094044E8,5.176352E8,8.50057728E8,1.056591168E9,1.118840576E9
1.12507456E8,4.62961632E8,8.63295744E8,1.05929088E9,1.144880384E9
1.10813144E8,3.69453568E8,8.6791424E8,1.049466752E9,1.123909248E9
1.13158016E8,3.65669152E8,8.63043072E8,1.03937824E9,1.14953792E9
1.16181792E8,3.667168E8,8.72137792E8,1.073649408E9,1.118541696E9
1.09799616E8,3.69318816E8,8.53910592E8,1.057185472E9,1.145255552E9
1.09803232E8,3.67283328E8,8.77496E8,1.048000448E9,1.12295488E9
1.13964008E8,3.50529728E8,8.87992192E8,1.043627712E9,1.150617344E9
1.12101336E8,3.67503488E8,8.45426944E8,1.080213376E9,1.118447872E9
1.12482144E8,3.6660752E8,8.976384E8,1.041020224E9,1.143646464E9
1.11669456E8,5.2859184E8,8.75098752E8,1.061873216E9,1.125053056E9
1.0906672E8,5.18857216E8,8.67234496E8,1.05756192E9,1.143300096E9
1.10834024E8,4.58538144E8,8.6717344E8,9.80395072E8,1.14478528E9
1.27097096E8,3.657352E8,8.17227136E8,1.066547584E9,1.142095616E9
1.15318976E8,3.71457216E8,8.66033984E8,1.043139456E9,1.140153088E9
