4 x 256KB,2 x 512KB,1 x 1024KB
12.51811695098877,9.122096061706543,9.122648239135742
9.416620254516602,8.971109390258789,8.996969223022461
9.12684440612793,8.98064136505127,8.983760833740234
9.008169174194336,8.996615409851074,8.996956825256348
9.008840560913086,8.982401847839355,9.0095796585083
9.078011512756348,8.981701850891113,8.996232986450195
8.986592292785645,8.985148429870605,8.99357795715332
8.994784355163574,8.977716445922852,9.004956245422363
9.01152515411377,8.985359191894531,9.001555442810059
8.982431411743164,8.997693061828613,8.99521255493164
8.996212005615234,8.983416557312012,8.996336936950684
8.998558044433594,8.979966163635254,8.995407104492188
9.002657890319824,8.975753784179688,8.999234199523926
9.01409912109375,8.986556053161621,8.984421730041504
8.986652374267578,8.962489128112793,8.997050285339355
8.999751091003418,8.989548683166504,8.999691009521484
8.99976921081543,8.978425025939941,8.998451232910156
9.01512622833252,8.987661361694336,8.997060775756836
8.970746994018555,8.96335506439209,8.996103286743164
8.97883129119873,8.997945785522461,8.998337745666504
8.988187789916992,8.976655006408691,8.999347686767578
8.962623596191406,8.969701766967773,8.996420860290527
8.992462158203125,8.9701566696167,8.996504783630371
9.021710395812988,8.970746040344238,9.002866744995117
9.003280639648438,8.985186576843262,8.991703987121582
8.95649242401123,8.977834701538086,8.9752836227417
8.998234748840332,8.98796558380127,8.994782447814941
8.968846321105957,8.989537239074707,8.974851608276367
9.563209533691406,8.983595848083496,8.9873685836792
9.394132614135742,8.978093147277832,8.983617782592773
8.97045612335205,8.987814903259277,8.984840393066406
8.963029861450195,8.980720520019531,8.993021965026855
8.965503692626953,8.980198860168457,9.000752449035645
8.984935760498047,8.991382598876953,8.967958450317383
8.996453285217285,8.969633102416992,8.98235034942627
8.984960556030273,8.982950210571289,8.979172706604004
8.987113952636719,8.978538513183594,8.9970121383667
8.987754821777344,8.982396125793457,8.981294631958008
9.00809383392334,8.987863540649414,8.984831809997559
8.981206893920898,8.97984790802002,8.987342834472656
8.987915992736816,8.983275413513184,8.989022254943848
8.99769401550293,8.983475685119629,8.988630294799805
