1B,32B,1024B
0.5763810276985168,0.27428901195526123,0.1650809943675995
0.3196299970149994,0.14624199271202087,0.14191199839115143
0.19158199429512024,0.1497879922389984,0.13707700371742249
0.177606001496315,0.1458590030670166,0.14649799466133118
0.16131700575351715,0.14020100235939026,0.21718500554561615
0.16502200067043304,0.14485900104045868,0.137937992811203
0.16556400060653687,0.10000000149011612,0.13767899572849274
0.16455300152301788,0.13341200351715088,0.13921299576759338
0.16694599390029907,0.1440960019826889,0.15182499587535858
0.16286499798297882,0.1375730037689209,0.1627890020608902
0.1591939926147461,0.1510699987411499,0.14357300102710724
0.16206200420856476,0.13811799883842468,0.13760699331760406
0.16317899525165558,0.14573299884796143,0.15361599624156952
0.19505999982357025,0.14270900189876556,0.147024005651474
0.16446100175380707,0.14525699615478516,0.15731500089168549
0.16363400220870972,0.13604700565338135,0.1381939947605133
0.17186400294303894,0.14011399447917938,0.1516599953174591
0.31072598695755005,0.14415599405765533,0.1542540043592453
0.18264299631118774,0.14458200335502625,0.1462319940328598
0.1667580008506775,0.143219992518425,0.14358100295066833
0.17340399324893951,0.13545599579811096,0.14032599329948425
0.16321000456809998,0.136013001203537,0.13837400078773499
0.16046099364757538,0.14629200100898743,0.13552799820899963
0.15998700261116028,0.13832899928092957,0.1401289999485016
0.2278739959001541,0.13736699521541595,0.1577650010585785
0.18978099524974823,0.1367429941892624,0.13717499375343323
0.1691180020570755,0.14280599355697632,0.13762199878692627
0.17354799807071686,0.14438499510288239,0.1342729926109314
0.1680240035057068,0.1453700065612793,0.16020600497722626
0.16276299953460693,0.13323800265789032,0.14873600006103516
0.1622460037469864,0.14191800355911255,0.13674600422382355
0.15922200679779053,0.14027999341487885,0.15230700373649597
0.16208399832248688,0.14437000453472137,0.19177399575710297
0.160289004445076,0.13376499712467194,0.1344899982213974
0.15930800139904022,0.1381250023841858,0.13547100126743317
0.15136399865150452,0.14850999414920807,0.13885900378227234
0.16072799265384674,0.13662199676036835,0.13914799690246582
0.1616310030221939,0.14369000494480133,0.13756300508975983
0.1663070023059845,0.1349630057811737,0.13451699912548065
0.157150000333786,0.12507300078868866,0.13867400586605072
0.1621840000152588,0.13351599872112274,0.13570399582386017
0.19895699620246887,0.14510799944400787,0.13695299625396729
0.17105799913406372,0.1376439929008484,0.13751299679279327
0.1793929934501648,0.13644899427890778,0.13708500564098358
