1 B,32 B,1.0 KB
12.894831657409668,0.5075479745864868,0.6589199900627136
0.42739400267601013,0.20183399319648743,0.2557219862937927
0.24300099909305573,0.19176599383354187,0.24477699398994446
0.23471599817276,0.2119479924440384,0.24211500585079193
0.23529599606990814,0.1926340013742447,0.2431029975414276
0.20125100016593933,0.1981240063905716,0.24030999839305878
0.19753499329090118,0.2349739968776703,0.24090400338172913
0.19713999330997467,0.19260099530220032,0.2488439977169037
0.2136790007352829,0.2191780060529709,0.2436479926109314
0.3154419958591461,0.18978899717330933,0.2356960028409958
0.18797700107097626,0.22119200229644775,0.2446179986000061
0.20246699452400208,0.19291700422763824,0.25071200728416443
0.19312599301338196,0.18872499465942383,0.24481399357318878
0.21467499434947968,0.20914800465106964,0.23918600380420685
1.0220979452133179,0.21947799623012543,0.2424750030040741
0.3275870084762573,0.20259499549865723,0.24956299364566803
0.19965200126171112,0.251801997423172,0.23600900173187256
0.1870959997177124,0.20355699956417084,0.2512660026550293
0.1839279979467392,0.20827099680900574,0.2775860130786896
0.1827480047941208,0.21581700444221497,0.2463109940290451
0.20137399435043335,0.1903350055217743,0.24457399547100067
0.2001809924840927,0.20996299386024475,0.23937900364398956
0.1792529970407486,0.19358700513839722,0.23954899609088898
0.18860000371932983,0.25383299589157104,0.24977000057697296
0.18452200293540955,0.21522299945354462,0.2698569893836975
0.17678000032901764,0.22937799990177155,0.26698899269104004
0.21750399470329285,0.302046000957489,0.24452099204063416
0.20271199941635132,0.3937680125236511,0.23619699478149414
0.3788819909095764,0.19227899610996246,0.25459399819374084
1.4964439868927002,0.1893160045146942,0.27597299218177795
0.22461199760437012,0.22571499645709991,0.24004699289798737
0.19749599695205688,0.186040997505188,0.23909500241279602
0.19674600660800934,0.20868900418281555,0.23867399990558624
0.1856369972229004,0.2729470133781433,0.23887400329113007
0.17154699563980103,0.1898379921913147,0.30778300762176514
0.16650599241256714,0.22344499826431274,0.25910401344299316
0.16871799528598785,0.19022099673748016,0.2630850076675415
0.17270499467849731,0.17651799321174622,0.26440200209617615
0.17972999811172485,0.196943998336792,0.24821199476718903
0.1770170032978058,0.1848910003900528,0.310234010219574
0.16117000579833984,0.1881989985704422,0.24371999502182007
0.2300260066986084,0.20773400366306305,0.27186399698257446
0.19396600127220154,0.2317570000886917,0.2545109987258911
0.17208699882030487,0.18148799240589142,0.2364339977502823
0.1752139925956726,0.19825400412082672,0.41475701332092285
0.16290199756622314,0.1982859969139099,0.3904370069503784
0.16341200470924377,0.1876949965953827,0.25321298837661743
0.1593170017004013,0.18983399868011475,0.28213798999786377
0.17680500447750092,0.19285699725151062,0.2370920032262802
0.20722000300884247,0.18325099349021912,0.24737900495529175
0.1998160034418106,0.18643899261951447,0.26983800530433655
0.24873100221157074,0.1842219978570938,0.2316969931125641
0.2183859944343567,0.18598100543022156,0.3243440091609955
0.15963299572467804,0.1832360029220581,0.2982670068740845
0.15563899278640747,0.19739499688148499,0.4052239954471588
0.16485600173473358,0.18698500096797943,0.6219490170478821
0.2043139934539795,0.1918489933013916,0.31905800104141235
0.17775599658489227,0.19398899376392365,0.26460000872612
0.16253000497817993,0.1862020045518875,0.26364201307296753
0.18405099213123322,0.19065000116825104,0.28127801418304443
0.1618890017271042,0.19400200247764587,0.38156798481941223
0.1662289947271347,0.12127900123596191,0.23761799931526184
0.2153709977865219,0.12319300323724747,0.2406190037727356
0.3618150055408478,0.12678200006484985,0.2312539964914322
0.16298699378967285,0.12205000221729279,0.23744599521160126
0.16371500492095947,0.12005800008773804,0.2350510060787201
0.1479009985923767,0.1332789957523346,0.22867099940776825
0.14790299534797668,0.12623800337314606,0.28670400381088257
0.21906599402427673,0.12343700230121613,0.2749130129814148
0.18485799431800842,0.13234500586986542,0.2326119989156723
0.1625259965658188,0.12632200121879578,0.22039200365543365
0.16711999475955963,0.12489999830722809,0.2145639955997467
0.15183499455451965,0.13943900167942047,0.2184859961271286
0.15131400525569916,0.1231279969215393,0.24744999408721924
0.1616850048303604,0.13604100048542023,0.221219003200531
0.17227399349212646,0.13325800001621246,0.21900500357151031
0.15270699560642242,0.23982499539852142,0.2412469983100891
0.14916299283504486,0.12243200093507767,0.22258000075817108
0.16545900702476501,0.1323550045490265,0.21964499354362488
0.19281800091266632,0.15371699631214142,0.2183299958705902
0.1472110003232956,0.13148100674152374,0.21738000214099884
0.16154000163078308,0.12551400065422058,0.2162490040063858
0.14606699347496033,0.12557199597358704,0.21625299751758575
0.157943993806839,0.12386699765920639,0.21784700453281403
0.19544200599193573,0.12365599721670151,0.2166289985179901
0.14341899752616882,0.12022200226783752,0.2849070131778717
0.1794690042734146,0.12542499601840973,0.22345200181007385
0.14094799757003784,0.12165900319814682,0.22994500398635864
0.14208300411701202,0.12277700006961823,0.23846100270748138
0.15730799734592438,0.12134499847888947,0.25130000710487366
0.14178000390529633,0.1289680004119873,0.25689300894737244
0.14531700313091278,0.1740420013666153,0.23666399717330933
0.1376499980688095,0.1529970020055771,0.23606999218463898
0.14065000414848328,0.1324950009584427,0.2386299967765808
0.14263099431991577,0.209538996219635,0.22542700171470642
0.14504799246788025,0.12718600034713745,0.21288499236106873
0.1425749957561493,0.12725099921226501,0.2123579978942871
0.14152899384498596,0.20717200636863708,0.2096019983291626
0.14198699593544006,0.1451359987258911,0.20938000082969666
0.1412069946527481,0.12225800007581711,0.21215100586414337
